lane,step_no,name,actor,where,requires_presence_in_chile,requires_rut,cost_amount,cost_unit,cost_as_of,duration_days_min,duration_days_max,documents,source_claim_ids
L13,23,B12 — Register for all four EUNACOM-SP stages after passing ST,Applicant and ASOFAMECH,online,False,False,720000,CLP,Fee effective since 2025-07-01,1,3,Passed EUNACOM-ST record | Passport,L13-C10
L13,24,B13 — Extend visitor status if the examination stay exceeds 90 days,Applicant and Servicio Nacional de Migraciones,online,False,False,100,USD,2026-09-01; SERMIG rate CLP 925.25/USD,7,30,Passport | Tarjeta Única Migratoria | Proof of funds,L13-C04 L13-C12
L13,25,B14 — Complete the four EUNACOM-SP stages and obtain final approval,Applicant and ASOFAMECH practical centres,Chile,True,False,0,CLP,"Included in B12's CLP 720,000",45,145,Passport | SP scheduling confirmations,L13-C09 L13-C10
L13,26,B15 — Secure a clinical-teaching employment offer,Applicant and Chilean medical faculty,online,False,False,0,none,2026-09-03,30,180,EUNACOM approval | CV | Degrees | Teaching record | Proposed clinical duties,L13-C09
L13,27,B16 — Apply from Ukraine for work residence,Applicant and Servicio Nacional de Migraciones,online,False,False,85,USD,2026-09-03; SERMIG rate CLP 925.25/USD,90,367,Passport | Criminal record | Employment contract or qualifying offer | Employer documentation,L13-C04
L13,28,B17 — Relocation bus Vinnytsia–Warsaw,Applicant,Ukraine,False,False,3000,UAH,2026-09-03,1,1,Passport | Residence grant,L13-C03
L13,29,B18 — One-way relocation flight Warsaw–Santiago,Applicant,either,True,False,603877,CLP,2026-09-03 airfare snapshot,1,2,Passport | Residence grant | Ticket,L13-C03
L13,30,B19 — Initial accommodation with son,Applicant and son,Chile,True,False,0,CLP,"Family-hosting assumption; otherwise CLP 400,000/month",30,30,,L13-C03 L13-C12
L13,31,B20 — Obtain identity card and RUN,Applicant and Civil Registry,Chile,True,False,4270,CLP,2026-01-29,20,30,Passport | Residence documentation,L13-C04
L13,32,B21 — Register medical title in RNPI if employer or GES work requires it,Applicant and Superintendencia de Salud,online,False,True,0,CLP,2026-09-03,1,60,RUN | EUNACOM/revalidation evidence | Identity details,L13-C19
L13,33,C01 — Complete the Scenario B medical-habilitation and relocation route,"Applicant, ASOFAMECH, employer and SERMIG",either,True,False,5797371,CLP,2026-09-03 equivalent of all B baseline currencies,700,1450,All documents in B01-B20 | Clinical or general-medicine employment offer instead of a teaching-only offer,L13-C09 L13-C10 L13-C12
L13,34,C02 — Obtain written CONACEM pathway determination before paying,Applicant and CONACEM,online,False,False,0,none,2026-09-03,15,90,Internal Medicine programme with hours | Rheumatology programme with hours | Training certificates | Specialist titles | Employment history,L13-C16 L13-C18
L13,35,C03 — Apostille Internal Medicine and Rheumatology titles,Applicant and Ukrainian Ministry of Education and Science apostille service,Ukraine,False,False,702,UAH,2026-09-03; 2 × UAH 351,42,56,Internal Medicine specialist title | Rheumatology specialist title,L13-C02
L13,36,C04 — Translate two specialty titles,Ukrainian translator and notary,Ukraine,False,False,1350,UAH,2026-09-03; 2 × UAH 675,1,7,Two apostilled specialty titles,L13-C02
L13,37,C05 — Translate detailed specialty programmes,Specialist Spanish translator,Ukraine,False,False,7400,UAH,2026-09-03; assumed 20 pages × UAH 370,5,30,Internal Medicine curriculum | Rheumatology curriculum | Clinical rotation and hour certificates,L13-C02 L13-C16
L13,38,C06 — Apply for Internal Medicine certification,Applicant and CONACEM,online,False,True,230000,CLP,CONACEM tariff consulted 2026-09-03,30,180,General medical habilitation | Foreign training documents | Translated programmes | Identity card,L13-C15
L13,39,C07 — Sit Internal Medicine written examination,Applicant and CONACEM,Chile,True,True,300000,CLP,CONACEM tariff consulted 2026-09-03,1,180,Exam authorisation | Identity card,L13-C15 L13-C18
L13,40,C08 — Sit Internal Medicine practical examination,Applicant and CONACEM clinical centre,Chile,True,True,450000,CLP,CONACEM tariff consulted 2026-09-03,3,180,Passed written examination | Identity card,L13-C15
L13,41,C09 — Register Internal Medicine certification in RNPI,Applicant and Superintendencia de Salud,online,False,True,0,CLP,2026-09-03,1,60,CONACEM certificate | RUN | Medical-title registration,L13-C19
L13,42,C10 — Apply for Rheumatology certification,Applicant and CONACEM,online,False,True,230000,CLP,CONACEM tariff consulted 2026-09-03,30,180,Internal Medicine certification and RNPI entry | Rheumatology training documents | Translated programme,L13-C15 L13-C16
L13,43,C11 — Sit Rheumatology written examination,Applicant and CONACEM,Chile,True,True,300000,CLP,CONACEM tariff consulted 2026-09-03,1,180,Exam authorisation | Identity card,L13-C15 L13-C18
L13,44,C12 — Sit Rheumatology practical examination,Applicant and CONACEM clinical centre,Chile,True,True,450000,CLP,CONACEM tariff consulted 2026-09-03,3,540,Passed written examination | Identity card,L13-C15 L13-C18
L13,45,C13 — Register Rheumatology certification in RNPI,Applicant and Superintendencia de Salud,online,False,True,0,CLP,2026-09-03,1,60,CONACEM Rheumatology certificate | RUN | Medical and Internal Medicine registrations,L13-C19
